NDB_No,Shrt_Desc,Protein,Lipid_Tot,Carbohydrt,Fiber_TD,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Copper,Manganese,Selenium,Vit_C,Thiamin,Riboflavin,Niacin,Panto_Acid,Vit_B6,Folate_Tot,Choline_Tot,Vit_B12,Vit_A,Vit_E,Vit_D,Vit_K,FA_Sat
1001,"BUTTER,WITH SALT",1.517857143,103.9871795,0.046153846,0,2.4,0.25,0.5,3.428571429,0.705882353,42.86666667,0.818181818,0,0,1.818181818,0,0.416666667,2.615384615,0.2625,2.2,0.230769231,0.75,3.418181818,7.083333333,76,15.46666667,0,5.833333333,263.425641
1002,"BUTTER,WHIPPED,W/ SALT",0.875,100.3846154,2.207692308,0,2.3,0.625,0.25,3.428571429,1.205882353,38.86666667,0.454545455,1.111111111,0.043478261,0,0,0.583333333,4.923076923,0.1375,1.94,0.615384615,1,3.418181818,2.916666667,75.88888889,9.133333333,0,3.833333333,232.7692308
1003,"BUTTER OIL,ANHYDROUS",0.5,127.5384615,0,0,0.4,0,0,0.428571429,0.147058824,0.133333333,0.090909091,0.111111111,0,0,0,0.083333333,0.384615385,0.01875,0.2,0.076923077,0,4.054545455,0.416666667,93.33333333,18.66666667,0,7.166666667,317.5589744
1004,"CHEESE,BLUE",38.21428571,36.84615385,1.8,0,52.8,3.875,5.75,55.28571429,7.529411765,76.4,24.18181818,4.444444444,0.391304348,26.36363636,0,2.416666667,29.38461538,6.35,34.58,12.76923077,9,2.8,50.83333333,22,1.666666667,3.333333333,2,95.73846154
1005,"CHEESE,BRICK",41.5,38.05128205,2.146153846,0,67.4,5.375,6,64.42857143,4,37.33333333,23.63636364,2.666666667,0.52173913,26.36363636,0,1.166666667,27,0.7375,5.76,5,5,2.8,52.5,32.44444444,1.733333333,3.333333333,2.083333333,96.22564103
1006,"CHEESE,BRIE",37.05357143,35.48717949,0.346153846,0,18.4,6.25,5,26.85714286,4.470588235,41.93333333,21.63636364,2.111111111,1.47826087,26.36363636,0,5.833333333,40,2.375,13.8,18.07692308,16.25,2.8,68.75,19.33333333,1.6,3.333333333,1.916666667,89.28205128
1007,"CHEESE,CAMEMBERT",35.35714286,31.1025641,0.353846154,0,38.8,4.125,5,49.57142857,5.5,56.13333333,21.63636364,2.333333333,1.652173913,26.36363636,0,2.333333333,37.53846154,3.9375,27.28,17.46153846,15.5,2.8,54.16666667,26.77777778,1.4,2.666666667,1.666666667,78.25128205
1008,"CHEESE,CARAWAY",44.96428571,37.43589744,2.353846154,0,67.3,8,5.5,70,2.735294118,46,26.72727273,2.666666667,0.913043478,26.36363636,0,2.583333333,34.61538462,1.125,3.8,5.692307692,4.5,0,11.25,30.11111111,0,0,0,95.3025641
1009,"CHEESE,CHEDDAR",40.83928571,42.70512821,2.376923077,0,71,1.75,6.75,65,2.235294118,43.53333333,33.09090909,3.333333333,1.173913043,51.81818182,0,2.416666667,32.92307692,0.36875,8.2,5.076923077,6.75,3,45.83333333,36.66666667,4.733333333,4,2,96.75384615
1010,"CHEESE,CHESHIRE",41.73214286,39.23076923,3.676923077,0,64.3,2.625,5.25,66.28571429,2.794117647,46.66666667,25.36363636,4.666666667,0.52173913,26.36363636,0,3.833333333,22.53846154,0.5,8.26,5.692307692,4.5,0,34.58333333,25.88888889,0,0,0,99.87179487
